channel,days,program,start_date,comment,family,fifties,fourties,individual,man,mobile_live,mobile_vod,news,pc_live,pc_vod,post,sixties,teenager,thirties,tv_vod,twenties,video,video_view,woman
iHQ,금,"맛있는 녀석들",2015.01.30,7627,131,35,79,210,86,2472,10792,576,179,2212,1349,28,21,33,-,6,32,916,124
JTBC,금,해방타운,2021.06.01,4962,509,191,166,794,323,7577,38546,1309,16,3168,1295,197,35,110,-,60,237,2089,471
JTBC,월,슈퍼밴드2,2021.06.28,23205,484,190,156,774,338,7404,15387,1311,168,2217,2514,220,52,85,-,46,297,3492,436
JTBC,일,"뭉쳐야 찬다2",2021.08.08,15647,568,236,203,910,405,10793,27172,1675,1166,6454,2087,231,50,95,-,32,278,5676,505
JTBC,토,"아는 형님",2015.12.05,12879,903,369,441,1618,731,6307,16835,1915,1273,3393,2133,237,121,207,-,164,301,2813,887
JTBC,토일,"알고있지만,",2021.06.19,24626,256,64,103,387,148,2157,22064,2292,-,291,1239,45,36,68,-,53,170,5916,240
JTBC,화,"바라던 바다",2021.06.29,18658,228,80,93,381,170,1535,7563,799,-,521,1365,85,25,47,-,28,194,3267,210
KBS2,금,"신상출시 편스토랑",2019.10.25,9223,577,182,162,865,370,3911,17839,1634,81,955,2182,275,45,91,-,67,182,928,496
KBS2,금,"유희열의 스케치북",2009.04.24,14932,219,85,51,319,137,1595,5632,714,-,1185,1364,72,17,45,-,44,235,1113,182
KBS2,월화,경찰수업,2021.08.09,12193,1315,593,426,2057,905,4550,11564,4313,3326,8636,3219,528,130,150,-,171,265,1915,1152
KBS2,월화수목금,"빨강 구두",2021.07.05,4881,3322,892,423,4350,1808,4658,1895,1946,140,117,911,2332,142,306,-,184,323,3108,2542
KBS2,일,"1박 2일 시즌4",2019.12.08,5166,2111,773,650,3330,1486,2248,6966,1223,575,3721,1147,1016,162,390,-,241,139,588,1844
KBS2,일,슈퍼맨이돌아왔다,2013.11.03,12628,1224,463,286,1915,820,8479,22791,1625,8943,16586,1032,607,68,214,-,187,200,5048,1095
KBS2,토일,"오케이 광자매",2021.03.13,10188,5036,1704,967,7312,3139,12794,9472,1524,48,6494,1921,3194,301,512,-,460,263,6366,4174
