id,content_id,contentset_id,channel,days,program,start_date
1330,NULL,NULL,tvN,수목,"슬기로운 의사생활2",2021.06.17
1331,NULL,NULL,SBS,금,펜트하우스3,2021.06.04
1332,NULL,NULL,MBC,금,나혼자산다,2013.03.22
1333,NULL,NULL,Mnet,금,"걸스플래닛999 : 소녀대전",2021.08.06
1334,NULL,NULL,Mnet,화,"스트릿 우먼 파이터",2021.08.24
1335,NULL,NULL,tvN,일,대탈출4,2021.07.11
1336,NULL,NULL,SBS,월화,홍천기,2021.08.30
1337,NULL,NULL,tvN,수,"유 퀴즈 온 더 블럭",2018.08.29
1338,NULL,NULL,KBS2,월화,경찰수업,2021.08.09
1339,NULL,NULL,tvN,토일,"갯마을 차차차",2021.08.28
1340,NULL,NULL,tvN,월화,"너는 나의 봄",2021.07.05
1341,NULL,NULL,SBS,일,런닝맨,2010.07.11
1342,NULL,NULL,"TV CHOS",목,"신청곡을 불러드립니다 - 사랑의 콜센타",2020.04.02
1343,NULL,NULL,MBC,토,"놀면 뭐하니?",2019.07.27
1344,NULL,NULL,tvN,토,"놀라운 토요일",2018.04.07
1345,NULL,NULL,JTBC,월,슈퍼밴드2,2021.06.28
1346,NULL,NULL,SBS,수,"백종원의 골목식당",2018.01.05
1347,NULL,NULL,tvN,금,식스센스2,2021.06.25
1348,NULL,NULL,tvN,토일,악마판사,2021.07.03
1349,NULL,NULL,MBC,일,복면가왕,2015.04.05
1350,NULL,NULL,MBC,토,"전지적 참견 시점",2018.03.03
1351,NULL,NULL,KBS2,금,"신상출시 편스토랑",2019.10.25
1352,NULL,NULL,JTBC,토,"아는 형님",2015.12.05
1353,NULL,NULL,SBS,토,LOUD,2021.06.05
1354,NULL,NULL,JTBC,일,"뭉쳐야 찬다2",2021.08.08
1355,NULL,NULL,SBS,수,"골 때리는 그녀들",2021.06.16
1356,NULL,NULL,KBS2,토일,"오케이 광자매",2021.03.13
1357,NULL,NULL,MBN,일,돌싱글즈,2021.07.11
1358,NULL,NULL,SBS,월,"생활의 달인",2005.04.25
1359,NULL,NULL,SBS,일,"미운 우리 새끼",2016.08.26
1360,NULL,NULL,MBC,목,심야괴담회,2021.03.11
1361,NULL,NULL,MBC,수,라디오스타,2007.05.30
1362,NULL,NULL,JTBC,화,"바라던 바다",2021.06.29
1363,NULL,NULL,KBS2,금,"유희열의 스케치북",2009.04.24
1364,NULL,NULL,iHQ,금,"맛있는 녀석들",2015.01.30
1365,NULL,NULL,SBS,일,집사부일체,2017.12.31
1366,NULL,NULL,"TV CHOS",토일,"결혼작사 이혼작곡 시즌2",2021.06.12
1367,NULL,NULL,JTBC,금,해방타운,2021.06.01
1368,NULL,NULL,MBN,일,알토란,2014.10.19
1369,NULL,NULL,JTBC,토일,"알고있지만,",2021.06.19
1370,NULL,NULL,tvN,수목,"더 로드 : 1의 비극",2021.08.04
1371,NULL,NULL,KBS2,일,"1박 2일 시즌4",2019.12.08
1372,NULL,NULL,tvN,월,우도주막,2021.07.12
1373,NULL,NULL,채널A,금,"요즘 육아 금쪽같은 내 새끼",2020.05.29
1374,NULL,NULL,MBC,일,"구해줘 홈즈",2019.03.31
1375,NULL,NULL,SBS,월화,라켓소년단,2021.05.31
1376,NULL,NULL,KBS2,일,슈퍼맨이돌아왔다,2013.11.03
1377,NULL,NULL,"TV CHOS",금,"식객 허영만의 백반기행",2019.05.14
1378,NULL,NULL,"TV CHOS",수,뽕숭아학당,2020.05.13
1379,NULL,NULL,KBS2,월화수목금,"빨강 구두",2021.07.05
