channel,days,priority,program,amount,word
EBS1,월화수목금,1,"위대한 수업, 그레이트 마인즈",50,중요하다
EBS1,월화수목금,10,"위대한 수업, 그레이트 마인즈",20,이러하다
EBS1,월화수목금,2,"위대한 수업, 그레이트 마인즈",33,어렵다
EBS1,월화수목금,3,"위대한 수업, 그레이트 마인즈",32,다양하다
EBS1,월화수목금,4,"위대한 수업, 그레이트 마인즈",30,가능하다
EBS1,월화수목금,5,"위대한 수업, 그레이트 마인즈",28,필요하다
EBS1,월화수목금,6,"위대한 수업, 그레이트 마인즈",23,흥미롭다
EBS1,월화수목금,7,"위대한 수업, 그레이트 마인즈",23,쉽다
EBS1,월화수목금,8,"위대한 수업, 그레이트 마인즈",22,높다
EBS1,월화수목금,9,"위대한 수업, 그레이트 마인즈",20,새롭다
iHQ,금,1,"맛있는 녀석들",309,맛있다
iHQ,금,10,"맛있는 녀석들",28,깔끔하다
iHQ,금,2,"맛있는 녀석들",60,유명하다
iHQ,금,3,"맛있는 녀석들",42,다양하다
iHQ,금,4,"맛있는 녀석들",40,맵다
iHQ,금,5,"맛있는 녀석들",39,가능하다
iHQ,금,6,"맛있는 녀석들",36,불안하다
iHQ,금,7,"맛있는 녀석들",35,아쉽다
iHQ,금,8,"맛있는 녀석들",29,솔직하다
iHQ,금,9,"맛있는 녀석들",28,고소하다
JTBC,월,1,슈퍼밴드2,159,아쉽다
JTBC,월,10,슈퍼밴드2,69,귀엽다
JTBC,월,2,슈퍼밴드2,152,멋지다
JTBC,월,3,슈퍼밴드2,120,행복하다
JTBC,월,4,슈퍼밴드2,119,재밌다
JTBC,월,5,슈퍼밴드2,97,새롭다
JTBC,월,6,슈퍼밴드2,92,힘들다
JTBC,월,7,슈퍼밴드2,86,솔직하다
JTBC,월,8,슈퍼밴드2,83,멋있다
JTBC,월,9,슈퍼밴드2,82,궁금하다
JTBC,토일,1,인간실격,145,슬프다
JTBC,토일,10,인간실격,46,나쁘다
JTBC,토일,2,인간실격,91,궁금하다
JTBC,토일,3,인간실격,79,아프다
JTBC,토일,4,인간실격,66,힘들다
JTBC,토일,5,인간실격,55,귀엽다
JTBC,토일,6,인간실격,52,괜찮다
JTBC,토일,7,인간실격,50,싫다
JTBC,토일,8,인간실격,49,깊다
JTBC,토일,9,인간실격,47,행복하다
KBS1,월화수목금,1,"국가대표 와이프",39,새롭다
KBS1,월화수목금,10,"국가대표 와이프",15,소중하다
KBS1,월화수목금,2,"국가대표 와이프",32,솔직하다
KBS1,월화수목금,3,"국가대표 와이프",23,귀엽다
KBS1,월화수목금,4,"국가대표 와이프",21,답답하다
KBS1,월화수목금,5,"국가대표 와이프",20,떠들썩하다
KBS1,월화수목금,6,"국가대표 와이프",19,심각하다
KBS1,월화수목금,7,"국가대표 와이프",18,평범하다
KBS1,월화수목금,8,"국가대표 와이프",18,당당하다
KBS1,월화수목금,9,"국가대표 와이프",17,거슬리다
KBS2,금,1,"신상출시 편스토랑",191,맛있다
KBS2,금,10,"신상출시 편스토랑",48,얇다
KBS2,금,2,"신상출시 편스토랑",71,부드럽다
KBS2,금,3,"신상출시 편스토랑",68,간단하다
KBS2,금,4,"신상출시 편스토랑",63,새롭다
KBS2,금,5,"신상출시 편스토랑",62,맵다
KBS2,금,6,"신상출시 편스토랑",62,고소하다
KBS2,금,7,"신상출시 편스토랑",55,예쁘다
KBS2,금,8,"신상출시 편스토랑",55,궁금하다
KBS2,금,9,"신상출시 편스토랑",50,다양하다
KBS2,수목,1,"달리와 감자탕",113,이상하다
KBS2,수목,10,"달리와 감자탕",28,새롭다
KBS2,수목,2,"달리와 감자탕",82,귀엽다
KBS2,수목,3,"달리와 감자탕",79,재밌다
KBS2,수목,4,"달리와 감자탕",55,궁금하다
KBS2,수목,5,"달리와 감자탕",46,예쁘다
KBS2,수목,6,"달리와 감자탕",33,힘들다
KBS2,수목,7,"달리와 감자탕",30,깊다
KBS2,수목,8,"달리와 감자탕",30,사랑스럽다
KBS2,수목,9,"달리와 감자탕",28,중요하다
KBS2,월화,1,경찰수업,82,행복하다
KBS2,월화,1,연모,178,재밌다
KBS2,월화,10,경찰수업,30,소중하다
KBS2,월화,10,연모,59,차갑다
KBS2,월화,2,경찰수업,67,아쉽다
KBS2,월화,2,연모,170,비밀스럽다
KBS2,월화,3,경찰수업,48,재밌다
KBS2,월화,3,연모,77,귀엽다
KBS2,월화,4,경찰수업,44,궁금하다
KBS2,월화,4,연모,77,잘생기다
KBS2,월화,5,경찰수업,37,새롭다
KBS2,월화,5,연모,67,예쁘다
KBS2,월화,6,경찰수업,34,나쁘다
KBS2,월화,6,연모,65,특별하다
KBS2,월화,7,경찰수업,32,당당하다
KBS2,월화,7,연모,64,궁금하다
KBS2,월화,8,경찰수업,32,힘들다
KBS2,월화,8,연모,62,완벽하다
KBS2,월화,9,경찰수업,31,미안하다
KBS2,월화,9,연모,60,아름답다
KBS2,토일,1,"신사와 아가씨",62,재밌다
KBS2,토일,10,"신사와 아가씨",25,고맙다
KBS2,토일,2,"신사와 아가씨",53,궁금하다
KBS2,토일,3,"신사와 아가씨",40,예쁘다
KBS2,토일,4,"신사와 아가씨",37,새롭다
KBS2,토일,5,"신사와 아가씨",35,귀엽다
KBS2,토일,6,"신사와 아가씨",30,싫다
KBS2,토일,7,"신사와 아가씨",29,힘들다
KBS2,토일,8,"신사와 아가씨",26,재미있다
KBS2,토일,9,"신사와 아가씨",25,다양하다
MBC,금,1,"검은 태양",226,재밌다
MBC,금,1,나혼자산다,70,길다
MBC,금,10,"검은 태양",73,확실하다
MBC,금,10,나혼자산다,47,귀엽다
MBC,금,2,"검은 태양",203,궁금하다
MBC,금,2,나혼자산다,69,궁금하다
MBC,금,3,"검은 태양",115,중요하다
MBC,금,3,나혼자산다,59,맛있다
MBC,금,4,"검은 태양",95,새롭다
MBC,금,4,나혼자산다,58,재밌다
MBC,금,5,"검은 태양",95,필요하다
MBC,금,5,나혼자산다,53,예쁘다
MBC,금,6,"검은 태양",86,이상하다
MBC,금,6,나혼자산다,51,다양하다
MBC,금,7,"검은 태양",82,높다
MBC,금,7,나혼자산다,49,행복하다
MBC,금,8,"검은 태양",78,힘들다
MBC,금,8,나혼자산다,48,유명하다
MBC,금,9,"검은 태양",75,어렵다
MBC,금,9,나혼자산다,48,아름답다
MBC,토,1,"전지적 참견 시점",66,귀엽다
MBC,토,10,"전지적 참견 시점",27,힘들다
MBC,토,2,"전지적 참견 시점",58,궁금하다
MBC,토,3,"전지적 참견 시점",50,맛있다
MBC,토,4,"전지적 참견 시점",45,유명하다
MBC,토,5,"전지적 참견 시점",39,재밌다
MBC,토,6,"전지적 참견 시점",38,괜찮다
MBC,토,7,"전지적 참견 시점",36,예쁘다
MBC,토,8,"전지적 참견 시점",33,멋지다
MBC,토,9,"전지적 참견 시점",29,가득하다
MBN,일,1,알토란,102,맛있다
MBN,일,10,알토란,23,미지근하다
MBN,일,2,알토란,62,적당하다
MBN,일,3,알토란,59,부드럽다
MBN,일,4,알토란,37,고소하다
MBN,일,5,알토란,35,굵다
MBN,일,6,알토란,34,얇다
MBN,일,7,알토란,29,간단하다
MBN,일,8,알토란,27,단단하다
MBN,일,9,알토란,26,시원하다
Mnet,금,1,"걸스플래닛999 : 소녀대전",96,귀엽다
Mnet,금,1,쇼미더머니10,196,재밌다
Mnet,금,10,"걸스플래닛999 : 소녀대전",34,궁금하다
Mnet,금,10,쇼미더머니10,52,새롭다
Mnet,금,2,"걸스플래닛999 : 소녀대전",76,예쁘다
Mnet,금,2,쇼미더머니10,107,궁금하다
Mnet,금,3,"걸스플래닛999 : 소녀대전",60,괜찮다
Mnet,금,3,쇼미더머니10,98,아쉽다
Mnet,금,4,"걸스플래닛999 : 소녀대전",59,아쉽다
Mnet,금,4,쇼미더머니10,96,솔직하다
Mnet,금,5,"걸스플래닛999 : 소녀대전",58,높다
Mnet,금,5,쇼미더머니10,76,멀다
Mnet,금,6,"걸스플래닛999 : 소녀대전",49,솔직하다
Mnet,금,6,쇼미더머니10,62,힘들다
Mnet,금,7,"걸스플래닛999 : 소녀대전",48,가능하다
Mnet,금,7,쇼미더머니10,56,높다
Mnet,금,8,"걸스플래닛999 : 소녀대전",44,이쁘다
Mnet,금,8,쇼미더머니10,56,유명하다
Mnet,금,9,"걸스플래닛999 : 소녀대전",37,새롭다
Mnet,금,9,쇼미더머니10,54,멋있다
Mnet,화,1,"스트릿 우먼 파이터",750,멀다
Mnet,화,10,"스트릿 우먼 파이터",207,다양하다
Mnet,화,2,"스트릿 우먼 파이터",656,재밌다
Mnet,화,3,"스트릿 우먼 파이터",495,멋있다
Mnet,화,4,"스트릿 우먼 파이터",468,멋지다
Mnet,화,5,"스트릿 우먼 파이터",350,아쉽다
Mnet,화,6,"스트릿 우먼 파이터",322,궁금하다
Mnet,화,7,"스트릿 우먼 파이터",304,힘들다
Mnet,화,8,"스트릿 우먼 파이터",293,귀엽다
Mnet,화,9,"스트릿 우먼 파이터",246,솔직하다
SBS,금,1,"원 더 우먼",490,재밌다
SBS,금,10,"원 더 우먼",67,높다
SBS,금,2,"원 더 우먼",138,궁금하다
SBS,금,3,"원 더 우먼",117,귀엽다
SBS,금,4,"원 더 우먼",89,재미있다
SBS,금,5,"원 더 우먼",80,이상하다
SBS,금,6,"원 더 우먼",74,괜찮다
SBS,금,7,"원 더 우먼",69,아프다
SBS,금,8,"원 더 우먼",68,시원하다
SBS,금,9,"원 더 우먼",67,예쁘다
SBS,수,1,"백종원의 골목식당",173,맛있다
SBS,수,10,"백종원의 골목식당",30,부드럽다
SBS,수,2,"백종원의 골목식당",58,가능하다
SBS,수,3,"백종원의 골목식당",45,깔끔하다
SBS,수,4,"백종원의 골목식당",44,아쉽다
SBS,수,5,"백종원의 골목식당",43,친절하다
SBS,수,6,"백종원의 골목식당",39,유명하다
SBS,수,7,"백종원의 골목식당",36,궁금하다
SBS,수,8,"백종원의 골목식당",33,힘들다
SBS,수,9,"백종원의 골목식당",32,괜찮다
SBS,월,1,"생활의 달인",216,맛있다
SBS,월,10,"생활의 달인",51,궁금하다
SBS,월,2,"생활의 달인",98,유명하다
SBS,월,3,"생활의 달인",82,하얗다
SBS,월,4,"생활의 달인",78,가능하다
SBS,월,5,"생활의 달인",69,특별하다
SBS,월,6,"생활의 달인",67,다양하다
SBS,월,7,"생활의 달인",57,부드럽다
SBS,월,8,"생활의 달인",55,깔끔하다
SBS,월,9,"생활의 달인",51,아쉽다
SBS,월화,1,홍천기,202,귀엽다
SBS,월화,10,홍천기,92,괜찮다
SBS,월화,2,홍천기,188,재밌다
SBS,월화,3,홍천기,169,행복하다
SBS,월화,4,홍천기,154,궁금하다
SBS,월화,5,홍천기,139,위험하다
SBS,월화,6,홍천기,121,붉다
SBS,월화,7,홍천기,120,이쁘다
SBS,월화,8,홍천기,112,예쁘다
SBS,월화,9,홍천기,108,슬프다
SBS,일,1,"미운 우리 새끼",33,예쁘다
SBS,일,10,"미운 우리 새끼",17,자세하다
SBS,일,2,"미운 우리 새끼",31,부끄럽다
SBS,일,3,"미운 우리 새끼",30,조용하다
SBS,일,4,"미운 우리 새끼",26,맛있다
SBS,일,5,"미운 우리 새끼",24,궁금하다
SBS,일,6,"미운 우리 새끼",23,화려하다
SBS,일,7,"미운 우리 새끼",21,조심스럽다
SBS,일,8,"미운 우리 새끼",19,귀찮다
SBS,일,9,"미운 우리 새끼",17,힘들다
"TV CHOSUN",금,1,"식객 허영만의 백반기행",183,맛있다
"TV CHOSUN",금,10,"식객 허영만의 백반기행",34,괜찮다
"TV CHOSUN",금,2,"식객 허영만의 백반기행",63,유명하다
"TV CHOSUN",금,3,"식객 허영만의 백반기행",52,부드럽다
"TV CHOSUN",금,4,"식객 허영만의 백반기행",48,고소하다
"TV CHOSUN",금,5,"식객 허영만의 백반기행",47,가능하다
"TV CHOSUN",금,6,"식객 허영만의 백반기행",45,다양하다
"TV CHOSUN",금,7,"식객 허영만의 백반기행",41,특별하다
"TV CHOSUN",금,8,"식객 허영만의 백반기행",35,아쉽다
"TV CHOSUN",금,9,"식객 허영만의 백반기행",34,깔끔하다
"TV CHOSUN",목,1,"내일은 국민가수",91,다양하다
"TV CHOSUN",목,10,"내일은 국민가수",53,뜨겁다
"TV CHOSUN",목,2,"내일은 국민가수",85,새롭다
"TV CHOSUN",목,3,"내일은 국민가수",83,재밌다
"TV CHOSUN",목,4,"내일은 국민가수",79,아쉽다
"TV CHOSUN",목,5,"내일은 국민가수",64,궁금하다
